period,word,count
2018-3,trump,955
2018-3,gun,842
2018-2,trump,838
2018-3,congress,718
2018-2,gun,696
2018-3,paul,679
2018-3,ryan,604
2018-1,trump,563
2018-2,congress,560
2018-3,stand,560
2018-6,trump,1079
2018-5,trump,862
2018-6,congress,797
2018-6,protect,707
2018-6,families,702
2018-6,children,564
2018-5,congress,556
2018-6,petition,522
2018-5,protect,507
2018-6,stand,504
2018-8,trump,1502
2018-7,trump,1396
2018-9,court,916
2018-7,america,891
2018-9,kavanaugh,878
2018-7,president,857
2018-9,supreme,855
2018-9,trump,849
2018-8,congress,827
2018-8,race,788
2018-10,senate,2395
2018-10,voting,2230
2018-10,trump,2075
2018-10,republican,1830
2018-10,president,1681
2018-10,race,1520
2018-11,trump,1505
2018-10,great,1477
2018-10,better,1474
2018-10,class,1350
2019-3,grassroots,913
2019-3,deadline,866
2019-3,trump,856
2019-3,president,737
2019-3,donation,704
2019-3,corporate,662
2019-3,critical,642
2019-3,donors,636
2019-3,indivisible,604
2019-3,donations,601
2019-5,debate,3664
2019-5,chip,2602
2019-5,donors,2461
2019-5,abortion,2443
2019-5,mothers,2412
2019-5,donation,1760
2019-5,trump,1671
2019-5,refugee,1500
2019-5,honor,1489
2019-4,democratic,1370
