"","ad_id","page_name","political_value","paid_for_by","ad_text","observed_at","call_to_action","target_age","target_gender","target_cal","target_location","target_interests"
"1",23849306740320328,"Concealed Coalition",1,NA,"Get Your Concealed Carry Permit Now!
Carry Concealed LEGALLY in 37 states! Get Your Utah Concealed Carry Certification in 1 day in Sandy.
This is not your average CCW Permit class! If you want to get your Utah Concealed Carry Permit, this is your chance.
ConcealedCoalition.com/SCHEELS
Get Your Utah Concealed Carry Permit
The Official Utah CCW Permit Class
L5tSea06l3apo8aun6r7n0 smoo1ia56re6r066edi0","2022-02-12","L5tSea06l3apo8aun6r7n0 smoo1ia56re6r066edi0",NA,NA,NA,NA,NA
"2",6266085451466,"World Wildlife Fund",0.99999875,NA,"Show some love for wildlife by symbolically adopting your favorite species to support WWF's conservation work! Your donation helps WWF continue our work around the world - plus, we'll send you a plush + adoption kit.
Octopus
Donate now to help protect wildlife and their habitats.
----Do-------n--at-e- n---o---w
Blue-footed Booby
Donate now to help protect wildlife and their habitats.
----Do-------n--at-e- n---o---w
Whale Shark
Donate now to help protect wildlife and their habitats.
----Do-------n--at-e- n---o---w
Bison
Donate now to help protect wildlife and their habitats.
----Do-------n--at-e- n---o---w
Platypus
Donate now to help protect wildlife and their habitats.
----Do-------n--at-e- n---o---w
Fennec Fox
Donate now to help protect wildlife and their habitats.
----Do-------n--at-e- n---o---w
Hammerhead Shark
Donate now to help protect wildlife and their habitats.
----Do-------n--at-e- n---o---w
Arctic Wolf
Donate now to help protect wildlife and their habitats.
----Do-------n--at-e- n---o---w
Bucket of Frogs
Donate now to help protect wildlife and their habitats.
----Do-------n--at-e- n---o---w
Honey Badger
Donate now to help protect wildlife and their habitats.
----Do-------n--at-e- n---o---w","2022-02-12","----Do-------n--at-e- n---o---w","6-53","ANY","World Wildlife Fund","the United States",NA
"3",23849536812810252,"Dissent Pins",0.99999857,NA,"Are you ready to join the Gazpacho Police? 
Marjorie Taylor Greene is up to her old tricks talking trash about the police: the Gazpacho Police. If you're ready to join the force, we've got your gear!
Plus 50% of profits from this sticker will be donated to voting rights organizations.
Gazpacho Police Sticker
50% of profits from this sticker will be donated to voting rights organizations.
tmiSu6Sm3m6gcp0hm0ou7op14ns4 o4Nrceglduogw
Gazpacho Police T-shirt
50% of profits from this sticker will be donated to voting rights organizations.
tmiSu6Sm3m6gcp0hm0ou7op14ns4 o4Nrceglduogw
See more at
DISSENTPINS.COM","2022-02-12","DISSENTPINS.COM",NA,NA,NA,NA,NA
"4",23849536812810252,"Dissent Pins",0.99999857,NA,"Are you ready to join the Gazpacho Police? 
Marjorie Taylor Greene is up to her old tricks talking trash about the police: the Gazpacho Police. If you're ready to join the force, we've got your gear!
Plus 50% of profits from this sticker will be donated to voting rights organizations.
Gazpacho Police Sticker
50% of profits from this sticker will be donated to voting rights organizations.
tmiSu6Sm3m6gcp0hm0ou7op14ns4 o4Nrceglduogw
Gazpacho Police T-shirt
50% of profits from this sticker will be donated to voting rights organizations.
tmiSu6Sm3m6gcp0hm0ou7op14ns4 o4Nrceglduogw
See more at
DISSENTPINS.COM","2022-02-12","DISSENTPINS.COM",NA,NA,NA,NA,NA
"5",23849536812810252,"Dissent Pins",0.99999857,NA,"Are you ready to join the Gazpacho Police? 
Marjorie Taylor Greene is up to her old tricks talking trash about the police: the Gazpacho Police. If you're ready to join the force, we've got your gear!
Plus 50% of profits from this sticker will be donated to voting rights organizations.
Gazpacho Police Sticker
50% of profits from this sticker will be donated to voting rights organizations.
tmiSu6Sm3m6gcp0hm0ou7op14ns4 o4Nrceglduogw
Gazpacho Police T-shirt
50% of profits from this sticker will be donated to voting rights organizations.
tmiSu6Sm3m6gcp0hm0ou7op14ns4 o4Nrceglduogw
See more at
DISSENTPINS.COM","2022-02-12","DISSENTPINS.COM",NA,NA,NA,NA,NA
"6",23849359226460328,"Concealed Coalition",0.99999595,NA,"The #1 Concealed Carry Permit Class in Texas! 
Carry LEGALLY in TEXAS, Oklahoma, Louisiana, New Mexico, Colorado, Arkansas, Missouri... and 30 other states.
Take 1 class & get certified! Get the Texas CCW Multi-State Permit.… See more
concealedcoalition.com/basspro-grapevine
Get Concealed Carry Certified
Texas Concealed Carry Permit Training
Lche1t1Sfpa2rlfun6oun1 08lsmorhem00o6adrfe","2022-02-12","Lche1t1Sfpa2rlfun6oun1 08lsmorhem00o6adrfe",NA,NA,NA,NA,NA
"7",6277514752061,"Melissa Joy Manning Inc.",0.99999535,NA,"Show your love this Valentine's Day with ethically made jewelry from our Green Certified studio.
Ethically Made. Openly Romantic.
Valentine's Day
l4gu0tuSucSagponh663u09os06poa nraccedlow1
Ethically Made. Infinitely Cool.
Valentine's Day
l4gu0tuSucSagponh663u09os06poa nraccedlow1
Ethically Made. Radically Refined.
Valentine's Day
l4gu0tuSucSagponh663u09os06poa nraccedlow1
Ethically Made. Wildly Composed.
Valentine's Day
l4gu0tuSucSagponh663u09os06poa nraccedlow1
Ethically Made. Subtly Celestial.
Valentine's Day
l4gu0tuSucSagponh663u09os06poa nraccedlow1
Ethically Made. Utterly Charmed.
Valentine's Day
l4gu0tuSucSagponh663u09os06poa nraccedlow1
Ethically Made. Fiercely Precious.
Valentine's Day
l4gu0tuSucSagponh663u09os06poa nraccedlow1
See more at
MELISSAJOYMANNING.COM","2022-02-12","MELISSAJOYMANNING.COM","6-53","FEMALE","Melissa Joy Manning Inc","the United States",NA
"8",6270899794359,"Center for Prosecutor Integrity",0.99990195,NA,"STOP MASS ARREST OF BLACK MEN. 
Carl Starling was falsely accused of partner abuse, leading to his wrongful arrest. Please sign this petition, and help protect innocent Black men from unfair arrests! https://chng.it/szY92jDY
change.org
Sign the Petition
Help Stop the Mass Arrest of Black Men! ‘Doing nothing ensures this will happen again.’","2022-02-12","Help Stop the Mass Arrest of Black Men! ‘Doing nothing ensures this will happen again.’","6-53","FEMALE",NA,"Reston,Virginia","The Atlantic"
"9",23849857761530004,"The Economist",0.99989086,NA,"No French president has been re-elected for 20 years. Emmanuel Macron looks to be in prime position to break that pattern
economist.com
Emmanuel Macron is highly likely to be re-elected as France’s president
The Economist’s election model derives probabilities from the polls and past experience","2022-02-12","The Economist’s election model derives probabilities from the polls and past experience",NA,NA,NA,NA,NA
"10",23849857761530004,"The Economist",0.99989086,NA,"No French president has been re-elected for 20 years. Emmanuel Macron looks to be in prime position to break that pattern
economist.com
Emmanuel Macron is highly likely to be re-elected as France’s president
The Economist’s election model derives probabilities from the polls and past experience","2022-02-12","The Economist’s election model derives probabilities from the polls and past experience",NA,NA,NA,NA,NA
